Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,3.093381e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.201026e-28
1.666667e-01,3.867744e-12,1.000000e+00,1.000000e+00,7.271277e-28,0.000000e+00,8.980714e-28,3.602939e-29,3.852369e-30,1.058548e-27
3.333333e-01,4.835857e-12,1.000000e+00,1.000000e+00,2.137442e-27,3.924553e-28,3.598090e-27,1.579556e-28,1.821146e-29,2.234085e-27
5.000000e-01,6.046164e-12,1.000000e+00,1.000000e+00,4.764198e-27,1.200705e-27,9.673793e-27,4.535946e-28,5.524527e-29,4.505137e-27
6.666667e-01,7.559431e-12,1.000000e+00,1.000000e+00,9.797809e-27,2.735118e-27,2.220390e-26,1.090524e-27,1.384281e-28,8.961760e-27
8.333333e-01,9.451296e-12,1.000000e+00,1.000000e+00,1.962476e-26,5.684884e-27,4.730957e-26,2.395543e-27,3.137755e-28,1.773298e-26
1.000000e+00,1.181678e-11,1.000000e+00,1.000000e+00,3.893196e-26,1.144030e-26,9.711136e-26,5.007783e-27,6.715754e-28,3.499155e-26
1.166667e+00,1.477414e-11,1.000000e+00,1.000000e+00,7.690947e-26,2.274067e-26,1.955169e-25,1.017630e-26,1.388621e-27,6.892807e-26
1.333333e+00,1.847151e-11,1.000000e+00,1.000000e+00,1.515922e-25,4.496262e-26,3.895976e-25,2.034003e-26,2.810406e-27,1.356083e-25
1.500000e+00,2.309409e-11,1.000000e+00,1.000000e+00,2.983588e-25,8.865968e-26,7.719276e-25,4.025724e-26,5.610897e-27,2.665459e-25
1.666667e+00,2.887342e-11,1.000000e+00,1.000000e+00,5.866074e-25,1.745364e-25,1.524459e-24,7.920573e-26,1.110291e-26,5.235385e-25
1.833333e+00,3.609897e-11,1.000000e+00,1.000000e+00,1.152435e-24,3.432074e-25,3.004669e-24,1.552674e-25,2.184058e-26,1.027739e-24
2.000000e+00,4.513266e-11,1.000000e+00,1.000000e+00,2.262676e-24,6.743245e-25,5.914648e-24,3.036706e-25,4.278798e-26,2.016611e-24
2.166667e+00,5.642695e-11,1.000000e+00,1.000000e+00,4.440365e-24,1.324058e-24,1.163294e-23,5.930297e-25,8.358418e-26,3.955502e-24
2.333333e+00,7.054760e-11,1.000000e+00,1.000000e+00,8.710527e-24,2.598535e-24,2.286563e-23,1.156954e-24,1.629313e-25,7.756158e-24
2.500000e+00,8.820186e-11,1.000000e+00,1.000000e+00,1.708159e-23,5.097703e-24,4.492360e-23,2.255565e-24,3.170898e-25,1.520470e-23
2.666667e+00,1.102740e-10,1.000000e+00,1.000000e+00,3.348822e-23,9.997119e-24,8.822791e-23,4.395199e-24,6.163187e-25,2.979960e-23
2.833333e+00,1.378696e-10,1.000000e+00,1.000000e+00,6.563762e-23,1.959985e-23,1.732232e-22,8.561334e-24,1.196673e-24,5.839243e-23
3.000000e+00,1.723708e-10,1.000000e+00,1.000000e+00,1.286244e-22,3.841716e-23,3.400124e-22,1.667175e-23,2.321480e-24,1.144001e-22
3.166667e+00,2.155057e-10,1.000000e+00,1.000000e+00,2.520083e-22,7.528460e-23,6.672483e-22,3.245815e-23,4.500138e-24,2.240929e-22
3.333333e+00,2.694347e-10,1.000000e+00,1.000000e+00,4.936689e-22,1.475049e-22,1.309169e-21,6.318120e-23,8.717612e-24,4.389024e-22
3.500000e+00,3.368589e-10,1.000000e+00,1.000000e+00,9.669255e-22,2.889584e-22,2.568195e-21,1.229666e-22,1.687756e-23,8.595121e-22
3.666667e+00,4.211555e-10,1.000000e+00,1.000000e+00,1.893620e-21,5.659783e-22,5.037234e-21,2.392942e-22,3.265770e-23,1.683005e-21
3.833333e+00,5.265464e-10,1.000000e+00,1.000000e+00,3.708006e-21,1.108424e-21,9.878569e-21,4.656194e-22,6.316024e-23,3.295130e-21
4.000000e+00,6.583103e-10,1.000000e+00,1.000000e+00,7.260065e-21,2.170499e-21,1.937042e-20,9.059212e-22,1.220954e-22,6.450854e-21
