Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,3.093381e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.788496e-33
1.666667e-01,3.867744e-12,1.000000e+00,1.000000e+00,3.095588e-33,0.000000e+00,3.823272e-32,1.405336e-33,1.494711e-34,5.358682e-33
3.333333e-01,4.835857e-12,1.000000e+00,1.000000e+00,1.057462e-32,1.670793e-33,1.713425e-31,6.792963e-33,7.773153e-34,1.352345e-32
5.000000e-01,6.046164e-12,1.000000e+00,1.000000e+00,2.784642e-32,5.907805e-33,5.244254e-31,2.186187e-32,2.634155e-33,3.285966e-32
6.666667e-01,7.559431e-12,1.000000e+00,1.000000e+00,6.856546e-32,1.582210e-32,1.395538e-30,5.995880e-32,7.498692e-33,7.850614e-32
8.333333e-01,9.451296e-12,1.000000e+00,1.000000e+00,1.646671e-31,3.923686e-32,3.488985e-30,1.522944e-31,1.956418e-32,1.857084e-31
1.000000e+00,1.181678e-11,1.000000e+00,1.000000e+00,3.905631e-31,9.451702e-32,8.457456e-30,3.714973e-31,4.864204e-32,4.364430e-31
1.166667e+00,1.477414e-11,1.000000e+00,1.000000e+00,9.193814e-31,2.245008e-31,2.016328e-29,8.859321e-31,1.175540e-31,1.021257e-30
1.333333e+00,1.847151e-11,1.000000e+00,1.000000e+00,2.153612e-30,5.288908e-31,4.761259e-29,2.084941e-30,2.791655e-31,2.382449e-30
1.500000e+00,2.309409e-11,1.000000e+00,1.000000e+00,5.027780e-30,1.239507e-30,1.117712e-28,4.867242e-30,6.555485e-31,5.546039e-30
1.666667e+00,2.887342e-11,1.000000e+00,1.000000e+00,1.171010e-29,2.894661e-30,2.613916e-28,1.130474e-29,1.527907e-30,1.289058e-29
1.833333e+00,3.609897e-11,1.000000e+00,1.000000e+00,2.722773e-29,6.743394e-30,6.097423e-28,2.616971e-29,3.542810e-30,2.992720e-29
2.000000e+00,4.513266e-11,1.000000e+00,1.000000e+00,6.323010e-29,1.568187e-29,1.419807e-27,6.044669e-29,8.184643e-30,6.941973e-29
2.166667e+00,5.642695e-11,1.000000e+00,1.000000e+00,1.467001e-28,3.642169e-29,3.301838e-27,1.394062e-28,1.885698e-29,1.609184e-28
2.333333e+00,7.054760e-11,1.000000e+00,1.000000e+00,3.401126e-28,8.450917e-29,7.671283e-27,3.211609e-28,4.335564e-29,3.728150e-28
2.500000e+00,8.820186e-11,1.000000e+00,1.000000e+00,7.880712e-28,1.959407e-28,1.780994e-26,7.393047e-28,9.952049e-29,8.633552e-28
2.666667e+00,1.102740e-10,1.000000e+00,1.000000e+00,1.825182e-27,4.540354e-28,4.132434e-26,1.700877e-27,2.281436e-28,1.998600e-27
