Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,1.921838e-11,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.609989e-27
1.666667e-01,2.402930e-11,1.000000e+00,1.000000e+00,4.517457e-27,0.000000e+00,5.579004e-28,2.050630e-29,2.181029e-30,6.576060e-27
3.333333e-01,3.004393e-11,1.000000e+00,1.000000e+00,1.327864e-26,2.438224e-27,2.235258e-27,8.933378e-29,1.023134e-29,1.377346e-26
5.000000e-01,3.756326e-11,1.000000e+00,1.000000e+00,2.941438e-26,7.459274e-27,5.987254e-27,2.544398e-28,3.074892e-29,2.763257e-26
6.666667e-01,4.696480e-11,1.000000e+00,1.000000e+00,6.017651e-26,1.689304e-26,1.368471e-26,6.070201e-28,7.637948e-29,5.476534e-26
8.333333e-01,5.871847e-11,1.000000e+00,1.000000e+00,1.200538e-25,3.493178e-26,2.904526e-26,1.324500e-27,1.718015e-28,1.080883e-25
1.000000e+00,7.341464e-11,1.000000e+00,1.000000e+00,2.374855e-25,7.001504e-26,5.942672e-26,2.753386e-27,3.652819e-28,2.129180e-25
1.166667e+00,9.178793e-11,1.000000e+00,1.000000e+00,4.682299e-25,1.387644e-25,1.193383e-25,5.570297e-27,7.511068e-28,4.189507e-25
1.333333e+00,1.147587e-10,1.000000e+00,1.000000e+00,9.217124e-25,2.738014e-25,2.373437e-25,1.109588e-26,1.513198e-27,8.236731e-25
1.500000e+00,1.434776e-10,1.000000e+00,1.000000e+00,1.812606e-24,5.391590e-25,4.696166e-25,2.190637e-26,3.009827e-27,1.618334e-24
1.666667e+00,1.793831e-10,1.000000e+00,1.000000e+00,3.562058e-24,1.060469e-24,9.265700e-25,4.302535e-26,5.938075e-27,3.178024e-24
1.833333e+00,2.242736e-10,1.000000e+00,1.000000e+00,6.996101e-24,2.084200e-24,1.825150e-24,8.424590e-26,1.165291e-26,6.238234e-24
2.000000e+00,2.803976e-10,1.000000e+00,1.000000e+00,1.373454e-23,4.093788e-24,3.591498e-24,1.646546e-25,2.278582e-26,1.224084e-23
2.166667e+00,3.505661e-10,1.000000e+00,1.000000e+00,2.695306e-23,8.037244e-24,7.062471e-24,3.214440e-25,4.444355e-26,2.401200e-23
2.333333e+00,4.382941e-10,1.000000e+00,1.000000e+00,5.287656e-23,1.577322e-23,1.388112e-23,6.270785e-25,8.652975e-26,4.709026e-23
2.500000e+00,5.479754e-10,1.000000e+00,1.000000e+00,1.037047e-22,3.094508e-23,2.727273e-23,1.222727e-24,1.682393e-25,9.232831e-23
2.666667e+00,6.851039e-10,1.000000e+00,1.000000e+00,2.033436e-22,6.069331e-23,5.356733e-23,2.383379e-24,3.267550e-25,1.809885e-22
2.833333e+00,8.565482e-10,1.000000e+00,1.000000e+00,3.986314e-22,1.190103e-22,1.051865e-22,4.644649e-24,6.340682e-25,3.547231e-22
3.000000e+00,1.070895e-09,1.000000e+00,1.000000e+00,7.813253e-22,2.333114e-22,2.065016e-22,9.049733e-24,1.229502e-24,6.951177e-22
3.166667e+00,1.338881e-09,1.000000e+00,1.000000e+00,1.531159e-21,4.573044e-22,4.053234e-22,1.763030e-23,2.382571e-24,1.361961e-21
3.333333e+00,1.673928e-09,1.000000e+00,1.000000e+00,3.000159e-21,8.961940e-22,7.954338e-22,3.434292e-23,4.614432e-24,2.668172e-21
3.500000e+00,2.092818e-09,1.000000e+00,1.000000e+00,5.877729e-21,1.756035e-21,1.560765e-21,6.689257e-23,8.932473e-24,5.226502e-21
3.666667e+00,2.616531e-09,1.000000e+00,1.000000e+00,1.151387e-20,3.440369e-21,3.062019e-21,1.302833e-22,1.728325e-23,1.023672e-20
3.833333e+00,3.271297e-09,1.000000e+00,1.000000e+00,2.255196e-20,6.739423e-21,6.006487e-21,2.537318e-22,3.342685e-23,2.004782e-20
4.000000e+00,4.089912e-09,1.000000e+00,1.000000e+00,4.416749e-20,1.320052e-20,1.178094e-20,4.941301e-22,6.462405e-23,3.925845e-20
4.166667e+00,5.113376e-09,1.000000e+00,1.000000e+00,8.649281e-20,2.585321e-20,2.310415e-20,9.622572e-22,1.248913e-22,7.687090e-20
4.333333e+00,6.392947e-09,1.000000e+00,1.000000e+00,1.693633e-19,5.062866e-20,4.530583e-20,1.873819e-21,2.412782e-22,1.505068e-19
4.500000e+00,7.992713e-09,1.000000e+00,1.000000e+00,3.316066e-19,9.913794e-20,8.883318e-20,3.648824e-21,4.659709e-22,2.946579e-19
4.666667e+00,9.992792e-09,1.000000e+00,1.000000e+00,6.492233e-19,1.941099e-19,1.741630e-19,7.105082e-21,8.996223e-22,5.768325e-19
4.833333e+00,1.249335e-08,1.000000e+00,1.000000e+00,1.270967e-18,3.800338e-19,3.414276e-19,1.383495e-20,1.736309e-21,1.129152e-18
5.000000e+00,1.561962e-08,1.000000e+00,1.000000e+00,2.487969e-18,7.439876e-19,6.692903e-19,2.693743e-20,3.349098e-21,2.210201e-18
5.166667e+00,1.952814e-08,1.000000e+00,1.000000e+00,4.870022e-18,1.456397e-18,1.318445e-18,5.170360e-20,6.000126e-21,4.336762e-18
5.333333e+00,2.441465e-08,1.000000e+00,1.000000e+00,9.550811e-18,2.850812e-18,2.602685e-18,9.870425e-20,1.046850e-20,8.517752e-18
5.500000e+00,3.052381e-08,1.000000e+00,1.000000e+00,1.875256e-17,5.590035e-18,5.140864e-18,1.883055e-19,1.822884e-20,1.674208e-17
5.666667e+00,3.816149e-08,1.000000e+00,1.000000e+00,3.685070e-17,1.097432e-17,1.015296e-17,3.599884e-19,3.211290e-20,3.293050e-17
5.833333e+00,4.771006e-08,1.000000e+00,1.000000e+00,7.246835e-17,2.156348e-17,2.004432e-17,6.906917e-19,5.759877e-20,6.481116e-17
6.000000e+00,5.964747e-08,1.000000e+00,1.000000e+00,1.426019e-16,4.240184e-17,3.963698e-17,1.310120e-18,1.027639e-19,1.298555e-16
6.166667e+00,7.457116e-08,1.000000e+00,1.000000e+00,2.846273e-16,8.343156e-17,7.903288e-17,2.454555e-18,1.827822e-19,2.724270e-16
6.333333e+00,9.322789e-08,1.000000e+00,1.000000e+00,5.910218e-16,1.663404e-16,1.610642e-16,4.698986e-18,3.308951e-19,5.486310e-16
6.500000e+00,1.165702e-07,9.999999e-01,1.000000e+00,1.197719e-15,3.442778e-16,3.283229e-16,9.092190e-18,5.855518e-19,1.097117e-15
6.666667e+00,1.457308e-07,9.999999e-01,1.000000e+00,2.401770e-15,6.983433e-16,6.643141e-16,1.787049e-17,1.081419e-18,2.178191e-15
6.833333e+00,1.821828e-07,9.999999e-01,1.000000e+00,4.778429e-15,1.401834e-15,1.333398e-15,3.545091e-17,2.036276e-18,4.311914e-15
7.000000e+00,2.277668e-07,9.999999e-01,1.000000e+00,9.469348e-15,2.791459e-15,2.659825e-15,7.038208e-17,3.921136e-18,8.459789e-15
7.166667e+00,2.847628e-07,9.999999e-01,1.000000e+00,1.861803e-14,5.534787e-15,5.268769e-15,1.394461e-16,7.614868e-18,1.635188e-14
7.333333e+00,3.559611e-07,9.999998e-01,1.000000e+00,3.611885e-14,1.089035e-14,1.033356e-14,2.746259e-16,1.475317e-17,3.173439e-14
7.500000e+00,4.449416e-07,9.999998e-01,1.000000e+00,7.009084e-14,2.115364e-14,2.016393e-14,5.373866e-16,2.851280e-17,6.203574e-14
7.666667e+00,5.561536e-07,9.999997e-01,1.000000e+00,1.368000e-13,4.106325e-14,3.934757e-14,1.048647e-15,5.496061e-17,1.205363e-13
7.833333e+00,6.951110e-07,9.999997e-01,1.000000e+00,2.660614e-13,8.011632e-14,7.666066e-14,2.042613e-15,1.060707e-16,2.359380e-13
8.000000e+00,8.686897e-07,9.999996e-01,1.000000e+00,5.200708e-13,1.558451e-13,1.495816e-13,3.977748e-15,2.046907e-16,4.590605e-13
8.166667e+00,1.085518e-06,9.999995e-01,1.000000e+00,1.012900e-12,3.045256e-13,2.916101e-13,7.739610e-15,3.958470e-16,8.952545e-13
8.333333e+00,1.356283e-06,9.999994e-01,1.000000e+00,1.974786e-12,5.932119e-13,5.685272e-13,1.503524e-14,7.641017e-16,1.744477e-12
8.500000e+00,1.694320e-06,9.999992e-01,1.000000e+00,3.848479e-12,1.156513e-12,1.108238e-12,2.916400e-14,1.471208e-15,3.399993e-12
